1, 57612, Pitch_bend_c, 0, 1012
1, 57664, Pitch_bend_c, 0, 892
1, 57792, Pitch_bend_c, 0, 723
1, 57843, Pitch_bend_c, 0, 458
1, 57866, Pitch_bend_c, 0, 241
1, 57892, Pitch_bend_c, 0, 121
1, 57919, Pitch_bend_c, 0, 0
1, 59123, Pitch_bend_c, 0, 506
1, 59148, Pitch_bend_c, 0, 1301
1, 59174, Pitch_bend_c, 0, 2193
1, 59200, Pitch_bend_c, 0, 3156
1, 59208, Note_on_c, 0, 66, 0
1, 59225, Pitch_bend_c, 0, 4144
1, 59251, Pitch_bend_c, 0, 5301
1, 59276, Pitch_bend_c, 0, 6457
1, 59302, Pitch_bend_c, 0, 7565
1, 59326, Pitch_bend_c, 0, 8192
1, 59403, Note_on_c, 0, 66, 78
1, 60147, Pitch_bend_c, 0, 7951
1, 60172, Pitch_bend_c, 0, 7637
1, 60198, Pitch_bend_c, 0, 7469
1, 60222, Pitch_bend_c, 0, 7300
1, 60248, Pitch_bend_c, 0, 7180
1, 60273, Pitch_bend_c, 0, 6963
1, 60299, Pitch_bend_c, 0, 6698
1, 60324, Pitch_bend_c, 0, 6481
1, 60350, Pitch_bend_c, 0, 6312
1, 60377, Pitch_bend_c, 0, 6120
1, 60428, Pitch_bend_c, 0, 5903
1, 60454, Pitch_bend_c, 0, 5710
1, 60505, Pitch_bend_c, 0, 5517
1, 60531, Pitch_bend_c, 0, 5349
1, 60556, Pitch_bend_c, 0, 5084
1, 60582, Pitch_bend_c, 0, 4939
1, 60608, Pitch_bend_c, 0, 4650
1, 60633, Pitch_bend_c, 0, 4457
1, 60659, Pitch_bend_c, 0, 4313
1, 60684, Pitch_bend_c, 0, 4168
1, 60708, Pitch_bend_c, 0, 3976
1, 60734, Pitch_bend_c, 0, 3807
1, 60760, Pitch_bend_c, 0, 3662
1, 60785, Pitch_bend_c, 0, 3446
1, 60811, Pitch_bend_c, 0, 3349
1, 60836, Pitch_bend_c, 0, 3229
1, 60864, Pitch_bend_c, 0, 3108
1, 60889, Pitch_bend_c, 0, 3012
1, 60940, Pitch_bend_c, 0, 2867
1, 60992, Pitch_bend_c, 0, 2602
1, 61017, Pitch_bend_c, 0, 2458
1, 61043, Pitch_bend_c, 0, 2289
1, 61068, Pitch_bend_c, 0, 2072
1, 61120, Pitch_bend_c, 0, 1880
1, 61145, Pitch_bend_c, 0, 1735
1, 61196, Pitch_bend_c, 0, 1639
1, 61246, Pitch_bend_c, 0, 1518
1, 61297, Pitch_bend_c, 0, 1374
1, 61323, Pitch_bend_c, 0, 1253
1, 61374, Pitch_bend_c, 0, 988
1, 61427, Pitch_bend_c, 0, 771
1, 61452, Pitch_bend_c, 0, 531
1, 61478, Pitch_bend_c, 0, 386
1, 61529, Pitch_bend_c, 0, 145
1, 61555, Pitch_bend_c, 0, 25
1, 61580, Pitch_bend_c, 0, 0
1, 63200, Note_on_c, 0, 66, 0
